,post_link,post_date,amount_of_likes,post_type
0,/p/COtD6MlsHsd/,"May 10, 2021",14,img
1,/p/COtDwLRM4qJ/,"May 10, 2021",6,img
2,/p/CNsUGdJs8Ly/,"Apr 15, 2021",11,img
3,/p/CNsUCEOsLR6/,"Apr 15, 2021",11,img
4,/p/CNsT6vRsQeO/,"Apr 15, 2021",8,img
5,/p/CMFc1opsa74/,"Mar 6, 2021",12,img
6,/p/CL9uWCfM0DV/,"Mar 3, 2021",7,img
7,/p/CL9uEURMcd9/,"Mar 3, 2021",17,img
8,/p/CL5Mfw_sne_/,"Mar 1, 2021",6,img
9,/p/CL5LmsHMPDy/,"Mar 1, 2021",11,img
10,/p/CL5LZJOMpI_/,"Mar 1, 2021",3,img
11,/p/CLonqkQsBdu/,"Feb 23, 2021",16,img
12,/p/CLonh8-sTcV/,"Feb 23, 2021",12,img
13,/p/CLfFA-hsid1/,"Feb 19, 2021",9,img
14,/p/CLfEWx3s98r/,"Feb 19, 2021",6,img
15,/p/CKZB8_fsdRa/,"Jan 23, 2021",3,img
16,/p/CKZBgXRsDc3/,"Jan 23, 2021",6,img
17,/p/CKM9ubPMoCY/,"Jan 18, 2021",10,img
18,/p/CKM8wjmMy_Y/,"Jan 18, 2021",16,img
19,/p/CKM6nBFM2wr/,"Jan 18, 2021",7,img
20,/p/CJW7fZwsvOs/,"Dec 28, 2020",15,img
21,/p/CJOQoLuMC_M/,"Dec 25, 2020",21,img
22,/p/CJMGQaJME8t/,"Dec 24, 2020",17,img
23,/p/CJMFtj6sBq6/,"Dec 24, 2020",17,img
24,/p/CJMFdrasxk_/,"Dec 24, 2020",4,img
25,/p/CIbajfnjDDI/,"Dec 5, 2020",10,img
26,/p/CIbZTHEjcfa/,"Dec 5, 2020",12,img
27,/p/CIbYpdKjESb/,"Dec 5, 2020",11,img
28,/p/CHgSwvtsYr-/,"Nov 12, 2020",18,img
29,/p/CHd7LsXjZUc/,"Nov 11, 2020",21,img
30,/p/CHX7MIiD5Sn/,"Nov 9, 2020",11,img
31,/p/CHX6_WaDnOs/,"Nov 9, 2020",9,img
32,/p/CHSuSEWjrsm/,"Nov 7, 2020",16,img
33,/p/CHSuNTIjM3c/,"Nov 7, 2020",7,img
34,/p/CHSt3wgDKxM/,"Nov 7, 2020",6,img
35,/p/CHSsDj0DBsg/,"Nov 7, 2020",18,img
36,/p/CHFuRqyDu_1/,"Nov 2, 2020",17,img
37,/p/CHFtv6Fj6mC/,"Nov 2, 2020",14,img
38,/p/CGtQWBwjFUf/,"Oct 23, 2020",14,img
39,/p/CGtP-xcDp1F/,"Oct 23, 2020",18,img
40,/p/CGqgGdaj8B6/,"Oct 22, 2020",22,img
41,/p/CGqiAZADcO0/,"Oct 22, 2020",13,img
42,/p/CGqh9KuD4vQ/,"Oct 22, 2020",14,img
43,/p/CMFc-p8nr45/,"Mar 6, 2021",4,vid
44,/p/CHgQ2sAj9j3/,"Nov 12, 2020",16,vid
45,/p/CHFt8f_DfO2/,"Nov 2, 2020",9,vid
46,/p/CGtQtRcjtkh/,"Oct 23, 2020",13,vid
