indice_interno,post_link,post_link_type
1.0,/p/COtD6MlsHsd/,img
2.0,/p/COtDwLRM4qJ/,img
3.0,/p/CNsUGdJs8Ly/,img
4.0,/p/CNsUCEOsLR6/,img
5.0,/p/CNsT6vRsQeO/,img
6.0,/p/CMFc-p8nr45/,vid
7.0,/p/CMFc1opsa74/,img
8.0,/p/CL9uWCfM0DV/,img
9.0,/p/CL9uEURMcd9/,img
10.0,/p/CL5Mfw_sne_/,img
11.0,/p/CL5LmsHMPDy/,img
12.0,/p/CL5LZJOMpI_/,img
13.0,/p/CLonqkQsBdu/,img
14.0,/p/CLonh8-sTcV/,img
15.0,/p/CLfFA-hsid1/,img
16.0,/p/CLfEWx3s98r/,img
17.0,/p/CKZB8_fsdRa/,img
18.0,/p/CKZBgXRsDc3/,img
19.0,/p/CKM9ubPMoCY/,img
20.0,/p/CKM8wjmMy_Y/,img
21.0,/p/CKM6nBFM2wr/,img
22.0,/p/CJW7fZwsvOs/,img
23.0,/p/CJOQoLuMC_M/,img
24.0,/p/CJMGQaJME8t/,img
25.0,/p/CJMFtj6sBq6/,img
26.0,/p/CJMFdrasxk_/,img
27.0,/p/CIbajfnjDDI/,img
28.0,/p/CIbZTHEjcfa/,img
29.0,/p/CIbYpdKjESb/,img
30.0,/p/CHgSwvtsYr-/,img
31.0,/p/CHgQ2sAj9j3/,vid
32.0,/p/CHd7LsXjZUc/,img
33.0,/p/CHX7MIiD5Sn/,img
34.0,/p/CHX6_WaDnOs/,img
35.0,/p/CHSuSEWjrsm/,img
36.0,/p/CHSuNTIjM3c/,img
37.0,/p/CHSt3wgDKxM/,img
38.0,/p/CHSsDj0DBsg/,img
39.0,/p/CHFuRqyDu_1/,img
40.0,/p/CHFt8f_DfO2/,vid
41.0,/p/CHFtv6Fj6mC/,img
42.0,/p/CGtQtRcjtkh/,vid
43.0,/p/CGtQWBwjFUf/,img
44.0,/p/CGtP-xcDp1F/,img
45.0,/p/CGqiAZADcO0/,img
1.0,/p/CGqh9KuD4vQ/,img
2.0,/p/CGqgGdaj8B6/,img
