indice_interno,post_link,post_link_type
6.0,/p/CMmvs5eBe3-/,vid
7.0,/p/CMce132Bt4P/,vid
8.0,/p/CMKPJXSBQc_/,vid
10.0,/p/CL1_xgnhDVg/,vid
15.0,/p/CIWsC2wBU46/,vid
21.0,/p/CGpasLVBz7P/,vid
31.0,/p/CFIfaHehlfq/,vid
33.0,/p/CFBBEZ-BhQl/,vid
34.0,/p/CE4y---B2g6/,vid
35.0,/p/CEwykzdBH-O/,vid
41.0,/p/CEC4aEChhz7/,vid
45.0,/p/CDumeucBBxn/,vid
3.0,/p/CDTy74BhY4u/,vid
9.0,/p/CBHOfFEhCy1/,vid
10.0,/p/CA5uTIbhLiF/,vid
11.0,/p/CAng14EhROA/,vid
13.0,/p/CASvO3DhEs9/,vid
14.0,/p/CAC7eYrBeCz/,vid
28.0,/p/B84MU3thfJj/,vid
31.0,/p/B8shqhzB4Qw/,vid
33.0,/p/B8sVNqbh2xt/,vid
